I  pron.我
price  n.价格，代价 vt.标价，定价
layout  n.布局，安排，设计
silver  n.银，银器 vt.镀银
signal  n.信号；导致…的行动 vi.发信号，通讯
silent  a.沉默的，无言的；安静的，不吵闹的
insure  vt.给…保险；保证
shower  n.&vi.(下)阵雨；(冲)淋浴 vt.浇；倾注
should  aux.v.应该；将会；万一；竟然会
launch  vt.使(船)下水；发射(导弹) n.发射
insult  vt.&n.侮辱，辱骂
lawyer  n.律师
jungle  n.丛林，密林
shrink  vi.萎缩，收缩；缩小，减少
junior  a.年少的；职位较低的 n.晚辈；等级较低者
single  a.单一的；单人的 n.单程票
shiver  vi./n.冷颤，颤抖
wisdom  n.智慧；古训，至理名言
simply  ad.仅仅，只；简直，完全；简单地，简易地
weight  n.重量；砝码；重压；重要性
simple  a.朴素的；简易的；纯真的；完全的
source  n.根泉，来源，出处
wicked  a.邪恶的，坏的；顽皮的
labour  n.劳动；劳动力；辛劳 vi.劳动，苦干
solemn  a.庄严的；严肃的；(指承诺)真诚的，正式的
liquor  n.酒
starve  v.使饿死，使挨饿
senior  a.年长的；资格老的 n.长辈；上级，上司
inward  a.里面的，内部的；内心的 ad.向内
island  n.岛，岛屿 a.岛(国)的
invest  vt.投资，投入 vi.(in)投资
seldom  ad.很少
spread  vt.&n.展开；传播；涂 vi.展开；传开
invade  vt.侵略，入侵；涌入
spring  n.春天，春季
square  n.广场；正方形 a.正方形的 vt.使正方形
social  a.社会的；社交的，交际的
length  n.长度；一段；程度，范围；
stable  a.稳定的，牢固的 n.马厩；培训基地
listen  vi.听；听信，听从
itself  pron.(它)自己；(它)本身
steady  a.稳定的，稳固的
slight  a.轻微的，微小的；纤细的；脆弱的
sexual  a.性别的；性欲的，性的
spider  n.蜘蛛
script  n.剧本(原稿)；手稿，原稿；笔迹，手迹
jacket  n.短大衣，夹克；马铃薯皮
locate  vt.把…设置在；探明
worthy  a.值得尊敬的；值得…的
sector  n.(尤指商业或贸易)部门；扇形面
shadow  n.阴影；暗处
second  num.第二 a.第二的 n.第二人/物；秒；片刻
search  v.搜，搜索 n.搜索，寻找
whilst  conj. 当...的时候
chalk  n.白垩，粉笔
ridge  n.山脊；鼻梁；分水岭
diary  n.日记簿，日记
sweat  n.汗(水) v.(使)流汗
swing  v.(使)摆动；转动 n.摆动；秋千 vt.转弯
chair  n.椅子；(会议)主席；大学教授 vt.主持会议
rifle  n.步枪，来福枪
right  a.右边的；正确的 n.右；权利 ad.对
swift  a.快的，迅速
swear  v.诅咒，咒骂；发誓，宣誓
devil  n.魔鬼
chain  n.链，链条；一连串 vt.(用链条)拴住，束缚
nearby  a.附近的 ad.在附近
nature  n.自然(界)；天性；特性；人体的本能
nearly  ad.几乎，差不多
prison  n.监狱
prince  n.王子；(小国的)君主
normal  a.正常的，标准的；精神健全的
profit  n.利润，盈利；利益，益处 v.从…得益
priest  n.教士，教父
notice  n.通知；注意 v.注意到
notify  vt.通知，报告
theirs  pron.[they的物主代词]他(她、它)们的
public  a.公共的；公开的；知名的 n.公众，民众
travel  n.旅行 vi.旅行；(光、物体等)移动，运行
punish  vt.惩罚；狠狠地对付，痛击
reason  n.理由；理性：理智 vt.论证；劝说 vi.推理
tackle  vt.对付，处理 n.用具，器具；滑车
uneasy  a.不安的，担心的；拘束的；不稳定的
motive  n.动机，目的；(作品的)主题
tailor  n.裁缝 vt.缝制，裁剪
mostly  ad.主要地；基本上
mother  n.母亲，妈妈
reckon  v.考虑，认为；想，料想；计算
namely  ad.即，也就是
myself  pron.[反身代词]我自己；我亲自
native  a.出生地的；本土的 n.本地人，本国人
muscle  n.肌肉；体力，力量
number  n.数量；号码 vt.给…编号码 vi.总计
timber  n.木材，木料；梁(尤指房梁，船梁)
phrase  n.短语，习惯用语
petrol  n.汽油
thread  n.线；思路；螺纹 vt.穿(针、线等)
orange  a.橙的；橙色的 n.橙色；橙(树)
pigeon  n.鸽子
person  n.人；身体；人称
partly  ad.部分地，在一定程度上
parent  n.父亲，母亲；动(植)物的母体；起源
pardon  n./vt.原谅，饶恕，赦免
parcel  n.包裹 vt.打包
packet  n.小包裹，小捆
permit  v.允许 n.许可(证)，执照
period  n.一段时间，时期；学时，课时；周期，句点
thrive  vi.兴旺，繁荣
oxygen  n.氧, 氧气
pencil  n.铅笔
polite  a.有礼貌的，客气的；有教养的，文雅的
theory  n.理论；看法，见解
police  n.警察；(加the)警方，警察局
polish  n.上光蜡 vt.磨光，擦亮
policy  n.政策，方针；保险单
poster  n.招贴，海报
praise  n.表扬，称赞 v.表扬，赞扬
object  n.物体；目的；对象 v.不赞成，反对
obtain  vt.获得，得到
powder  n.粉末；火药，炸药
oblige  vt.迫使；施恩于；使感激
poetry  n.诗歌，诗集
planet  n.行星
plenty  n.丰富，充足
plunge  vt.使投入；使陷入 vi.投(入) n.跳水
pocket  n.钱袋 a.袖珍的 vt.把…装入袋内
tongue  n.舌头；语言，口语
plough  (=plow) n.犁 v.犁；费力地前进
mental  a.心智的，精神的；神经不正常的
superb  a.壮丽的，华丽的，极好的
verify  vt.证实，证明；查清，核实
magnet  n.磁体，磁铁
weapon  n.武器，兵器
wealth  n.财产，财富；大量，丰富
revolt  v.起义，造反；厌恶，反感 n.反抗，造反
saving  n.节省，节约；(pl.)储蓄金，存款
strain  n.张力；紧张 v.拉(绷)紧；拉伤
volume  n.音量；容积，容量；书卷，卷册
voyage  n.航海，航行；旅行 v.航海，航行
vapour  n.蒸气，雾气
waiter  n.(男)侍者，(男)服务员
method  n.方法，办法
subway  n.地铁；地下人行道
rocket  n.火箭，由火箭推进的导弹，烟火
virtue  n.美德，德行；优点
violet  n.紫罗兰 a.紫色的
Sunday  n.星期日
survey  v.&n.俯视，眺望；检查，审视；测量
visual  a.视觉的；可见的
remind  vt.提醒，使想起
modify  vt.修改，变更；缓和，减轻
remain  vi.停留，留下；保持，依然
modern  a.现代的，现代化的
symbol  n.象征，符号，标志
modest  a.谦虚的，客气的；适度的
unlike  a.不同的 prep.不象…，和…不同
unload  vt.从...卸下货物
region  n.地区，区域；领域，范围
Monday  n.星期一
monkey  n.猴子
retail  n.零售 v.零售 a.零售的
retain  vt.保留，保持；挡住；聘
minute  n.分，分钟；一会儿，片刻 a.细微的
switch  n.电闸，开关 v.接通，切断(电源)；转变
storey  n.层，楼
urgent  a.紧急的；急切的
upward  a.向上的，上升的 ad.向上，上升
mobile  a.活动的，流动的
mister  n.先生；(M-，放在姓氏前)…先生
result  n.结果；答案，答数 vi.起因于；导致
resign  v.辞职；辞去，放弃；使顺从
metric  a.公制的，米制的
market  n.市场，集市；销路，需求 vt.销售
margin  n.页边，边缘；余地
marine  a.海的；航海的 n.水兵；船舶，海运业
stroke  n.击，敲；(报时的)钟声；一笔；中风
safety  n.安全
stripe  n.长条，条纹；军服上表示军阶的臂章条纹
sailor  n.水手，海员
string  n.细绳子；琴弦；一串 vt.把…串在一起
sample  n.样品，标本 vt.抽样检查
saucer  n.碟状物，茶碟
stream  n.小溪，小河；水流 v.流；飘扬，招展
strike  n.罢工；打击 v.打；攻击；鸣响，罢工
wander  vi.漫游，漫步；走神，(神志)恍惚
submit  vi.屈服 vt.呈交；提议，主张
vanish  vi.消失，消散
mature  a.成熟的；理智的；慎重的 v.成熟
warmth  n.温暖；热忱
strong  a.强有力的；坚强的；强烈的，浓的
master  n.主人；能手；男教师 vt.掌握，精通
stupid  a.愚蠢的，笨的
studio  n.画室，(摄影、雕刻等)工作室，播音室
laundry  n.洗衣店；洗好的衣服，洗涤
kitchen  n.厨房
kingdom  n.王国；领域
genius  n.天才，天赋；有天才的人
clause  n.条款，款项；分句，从句
glance  v.扫视，匆匆一看 n.一瞥，扫视
clumsy  a.笨拙的
coarse  a.粗糙的，粗劣的
client  n.委托人，当事人；顾客
cloudy  a.多云的，阴天的；似云的；模糊不清的
cinema  n.电影院；影片，电影
charge  vt.装满；收费；控告；充电 n.收费；罪名
change  vt.改变；交换 vi.改变 n.变化；交换；零钱
Christ  n.耶稣，基督
golden  a.金色的；黄金的，金制的；极好的
govern  v.统治，治理；支配，决定
gather  v.集合，聚集；采集，收集；逐渐增加；推测
Friday  n.星期五
friend  n.朋友，友人；支持者，同情者
fridge  =refrigerator n.冰箱
format  n.样式；(书刊的)版式 v.为(书刊)安排版式
forget  vt.遗忘；忘却，忘掉；编造(谎言) vi.忘记
forest  n.森林
formal  a.正式的，规格化的，礼仪上的
convey  vt.传达，表达；传送，运输
compel  vt.强迫，迫使
garlic  n.大蒜
garden  n.花园，庭园 v.从事园艺活动
comedy  n.喜剧，喜剧场面
column  n.柱，柱状物；专栏(文章)；直行
combat  v.与…战斗，搏斗 vi.战斗，斗争，搏斗
bucket  n.水桶
budget  n.预算，预算案，预算额；经费，生活费
bright  a.明亮的；欢快的；聪明的；(颜色)鲜艳的
heroic  a.英雄的，英勇的
bundle  n.包裹，包袱；一包，一捆，一束
burden  n.负担，负重；负荷，载重；义务，责任
bridge  n.桥，桥梁；桥牌
honest  a.诚实的；正直的，老实的，公正的
bother  vt.打扰，麻烦 vi.费心 n.麻烦；讨厌的人
breath  n.气息，呼吸；(风)微动
bounce  vi.弹起来 vt.使弹起 n.弹，反弹
branch  n.树枝，分枝；(机构的)分部；(学科的)分科
breast  n.胸脯，乳房；胸部 vt.挺胸迎…而上
handle  n.触；处理；搬；操纵 n.柄，把手
castle  n.城堡
guilty  a.有罪的，内疚的
growth  n.生长，发育；增加，扩大
ground  n.地(面)；场地；理由，根据
guitar  n.吉它，六弦琴
candle  n.蜡烛
campus  n.(大学)校园
hatred  n.憎恶，憎恨，怨恨
carpet  n.地毯
carbon  n.碳
hardly  ad.几乎不
harden  v.(使)变硬；(使)变得坚强
export  n.出口商品；出口，输出 v.出口，输出
donkey  n.驴，笨蛋
double  a.两倍的；双(人)的 v.(使)加倍
dragon  n.龙
during  prep.在…的期间
editor  n.编者，编辑
direct  a./ad.直接的(地) vt.指示；导演
famous  a.著名的
digest  n.文摘，摘要 vt.消化；吸收，领会
famine  n.饥荒
fabric  n.编织物；结构，组织
family  n.家，家庭；家族，氏族；(尤指动植物的)系
fairly  ad.相当地，公正地
factor  n.因素
enough  a./ad.充足的(地)，足够的(地) n.足够
eighty  num.八十
expand  v.扩大，展开，扩张
E-mail  n.电子邮件
employ  vt./n.使用；雇用
dialog  n.问答，对话
custom  n.习惯；(the Customs)海关，(pl.)关税
cruise  v./n.巡航，巡游
flight  n.飞行；航班；一段楼梯；逃跑
flavor  n.味道，风味 vt.给…调味
finger  n.手指；指状物
figure  v.扮演角色；认为 n.数字；外形；人物
danger  n.危险；危险物，威胁
filter  n.滤纸，过滤器 vt.过滤
flower  n.花；精华，精粹，精英；盛时 vi.开花
couple  n.一对，夫妇；两三个 vt.连接，结合
forbid  vt.禁止；阻止
course  n.过程，进程；(一)道(菜)；课程，教程
costly  a.昂贵的，浪费的
county  n.(英国)县或郡，(美)州以下最大的行政区
cousin  n.堂(表)弟，堂(表)姐妹；同种同族
fluent  a.流利的，流畅的
credit  n.信用；赊欠；学分 vt.信任；把…记入贷方
favour  n.赞赏；偏袒；恩惠 vt.偏爱，赞同
detail  n.细节，详情；枝节 vt.详述，详细说明
design  vt.设计；计划 n.图纸；设计，构思；图案
faulty  a.有错误的，不完善的
fasten  v.(使)固定，系牢，绑紧，扣紧
father  n.父亲；创始人；(Father)神父，上帝
deputy  n.代理人；代表；副…
dental  a.牙齿的，牙科的
depart  v.离开，出发；(火车等)开行
around  ad.周围；在近处；大约 prep.在…周围
answer  n.回答，答案 v.回答，响应；符合；解答
atomic  a.原子能的；(关于)原子的
income  n.收入，收益，所得
barely  ad.贫乏地；仅仅，几乎没有
ignore  vt.忽视，不顾
hungry  a.饥饿的；渴望的
beauty  n.美丽；美女；美好的事物
anyhow  ad.不管怎样说；不管以什么方法；总之
basket  n.筐；篮；篓
author  n.作家，著者
import  vt.进口，引进 n.进口；(pl.)进口商品
advice  n.劝告，意见，建议
adverb  n.副词
impose  vt.把…强加于，加重…负担；征收(税款)
admire  vt.羡慕，赞美，钦佩
adjust  vt.调整；校准 vi.调整；(to)适应于
impact  n.碰撞，冲击力；影响，效果
almost  ad.几乎，差不多
anchor  n.锚，靠山；v.固定，抛锚，停泊
action  n.活动，行为；作用
arouse  vt.唤醒，叫醒；唤起，激起
advise  vt.劝告，建议；警告，忠告
injure  vt.伤害(感情等)，损坏
humble  a.谦卑的；卑贱的 vt.降低身份，贬抑
behind  prep.在…后面；迟于 ad.在后，迟，慢
beyond  prep.在…之外；超出…范围，胜过；迟于
agency  n.代理(权)，代办；力量，(能动)作用；机构
belong  vi.(to)属于；归类于
injury  n.伤害，损害；受伤处
boring  a.令人厌烦的 n.钻孔
behalf  n.利益
hunger  n.饥饿；渴望
insert  vt.插入，嵌入
inform  vt.通知，告诉；告发
insect  n.昆虫
blouse  n.女衬衫；童衫；罩衫
dispute  v./n.争论，争吵
aspect  n.(问题等的)方面；样子，面貌
absent  a.缺席的；缺乏的；不在意的，茫然的
removal  n.拿走，搬走；除掉；撤职
display  n.&vt.显示，表现；陈列，展览
active  a.有活力的，积极的，主动的
amount  n.数量，总数 vt.总计；相当于，等于
infect  vt.传染，感染；影响…的心情，给…示影响
voltage  n.电压
antique  a.古代的；旧式的 n.古物，古董
deposit  v.存放；储蓄；(使)沉淀；放下 n.存款
another  a.另一个，又，再 pron.另一个，类似的一个
routine  a.例行的；平淡的 n.例行公事
scholar  n.学者；持奖学金的人
density  n.密度，稠密度
anxiety  n.挂念，焦虑；渴望
delight  n.欣喜，愉快；嗜好 vt.(使)喜悦
anxious  a.焦虑的，发愁的；急切的；使人不安的
wealthy  a.富裕的，丰富的
dialect  n.方言
despair  n.&vi.绝望
amongst  prep.在…之中(三者以上)
destroy  vt.毁坏，毁灭；消灭
respond  vi.回答；响应，反应
private  a.私人的，个人的；秘密的，私下的
problem  n.问题，疑难问题，须认真对付的困难
acquire  vt.获得，取得；学到(知识等)；养成(习惯)
prevail  vt.胜过，获胜；流行，普遍
worship  n.礼拜；崇拜 vi.做礼拜 vt.崇拜
workman  n.工人，劳动者，工匠
protein  n.蛋白质
promise  n.允诺，答应；有指望 v.允诺，诺言；希望
profile  n.剖面；外形；人物简介 vt.画…侧面像简介
product  n.产品，产物，乘积；成果；作品
produce  vt.生产；制造；拿出 n.产品，农产品
project  n.方案；工程 vt.投掷；放映；设计
enquiry  n.询问
postage  n.邮资
predict  v.预言，预告，预测
postman  n.邮递员
poverty  n.贫穷，贫困
reality  n.实际存在的事物，现实
whisper  v.低语，耳语；私下说 n.低语，耳语
whistle  vt.用口哨/喵吹奏 vi.吹口哨 n.口哨声
drawing  n.图画，素描
durable  a.耐久的，持久的
reading  n.阅读，读书；读物，选读；读数
readily  ad.容易地；乐意地；很快地
draught  n. 气流,草稿,汇票,牵引,拉,通风
refusal  n.拒绝
divorce  n./v.离婚；分离，脱离
disturb  v.搅乱，打扰，使不安
qualify  v.使合格；(对词义)限制，修饰
elastic  a.弹性的；灵活的，易顺应的 n.橡皮圈
quality  n.质量；品质，特性
provide  vt.提供，供给；规定
publish  v.出版，刊印；公布，发表
dynamic  a.有生气的，能活动的，有力的；动力的
rainbow  n.虹，彩虹
chapter  n.章，回，篇；(历史上的)一段时间
triumph  n.胜利 vi.胜利
chemist  n.化学家；(英)药剂师
charity  n.仁慈，宽厚；慈善机关(团体)
trouble  n.麻烦；故障；功夫 vt.使烦恼 vi.费神
surface  n.表面；外表，外观
chamber  n.房间，室；会议室；议院；(动物体内)腔室
balcony  n.阳台；(剧院的)楼座，二楼包厢
stomach  n.胃，胃口
typical  a.典型的，有代表性的
storage  n.贮藏，存储；存储器
uniform  n.制服，军装 a.一致的
undergo  n.遭受，经历
climate  n.气候
clothes  n.衣服
uncover  vt.揭开覆盖物，打开…的包装，使…露出
chimney  n.烟囱，烟道
subject  n.主题；学科 a.从属的 vt.使服从?
strange  a.奇怪的，不可思议的；陌生的
clarify  vi.澄清，阐明 vt.使明晰
Tuesday  n.星期二
turbine  n.汽轮机，涡轮机
therapy  n.治疗，疗法
cabinet  n.橱，柜子；内阁
butcher  n.卖肉的人，屠夫
breadth  n.宽度，广度
thunder  n.雷；轰隆响 vi.打雷，轰隆响
blanket  n.毛毯，毯子；v.覆盖，布满，弥漫
tragedy  n.悲剧(戏)；悲惨之事
cashier  n. 出纳员
certain  a.肯定的；必然的；某一，某种
century  n.一百年；世纪
central  a.中心的；主要的
capture  vt.捕获，俘获；夺取，占领
tedious  a.冗长乏味的，沉闷的
bearing  n.轴承；意义，举止
careful  a.当心的，小心的，仔细的
country  n.&a.国家(的)；农村(的)
courage  n.勇气，胆量
counsel  n.忠告，劝告；辩护人 vt.忠告，劝告
counter  n.柜台 a.相反的 vt.反对 ad.反方向地
variety  n.变化，多样化；种种；品种，变种
various  a.不同的，各种各样的；多方面的
convert  vt.使转变(转化) vi.改变信仰 n.皈依者
shortly  ad.立即，不久；简洁地
violate  vt.违犯，违反；妨碍，扰乱；亵渎
section  n.节，段，部分；科室；截面，剖视图
vinegar  n.醋
crystal  n.水晶；石英晶体，晶粒 a.水晶的
darling  a.可爱的；有魅力的 n.心爱的人，乖乖
virtual  a.实际上的
curtain  n.(窗、门)帘；(舞台的)幕
cushion  n.垫子，坐垫
violent  a.剧烈的，猛力的；强暴的，由暴力引起的
vibrate  v.使震动，使摇摆
version  n.译文，译本，版本；看法
servant  n.仆人，雇员
senator  n.参议员，上议员
seminar  n.研究小组，研讨会，(大学的)研究班
victory  n.胜利，获胜
special  a.特别的；特别好的 n.特别的事或物
complex  a.复合的；复杂的 n.综合企业，复合体
specify  vt.指定，详细说明
comrade  n.同志，朋友，同事
combine  v.结合，联合；化合 n.集团；联合收割机
upright  a.竖直的；诚实的 ad.笔直 n.柱子
company  n.公司，商社；陪伴，伴随，交往；(一)伙
compare  vt.比较，对照；比作，比喻
stadium  n.体育场
consult  vt.请教；向…咨询；查阅；就诊 vi.商议
consume  vt.消费，花费；毁灭，耗尽 vi.消费掉
article  n.文章，论文；物件，物品；条款；冠词
society  n.社会；团体，协会；社交界；相伴
soldier  n.士兵
conquer  v.征服，占领；克服，改正(恶习等)
confuse  vt.使混乱，使困惑；混淆，混同
confirm  vt.证实，进一步确定；批准；使坚固
painful  a.疼的，痛苦的；费力的，费心的
exhaust  vt.用尽 vi.气体等排出 n.排气 a.用不完的
instead  ad.代替，顶替
mixture  n.混合；混合物
improve  vt.改进，改善 vi.改善，变好
leading  a.领导的；最重要的，首位的
inspect  vt.检查；视察
nervous  a.神经的；神经紧张的
network  n.网状组织；网状系统；广播(电视)网
neutral  a.中立的；中性的；公平的 n.中立者
picture  n.画，图画，照片；图像，画面；影片
exclaim  v.大叫，呼喊，大声叫
glimpse  n.一瞥，一看 v.瞥见
mistake  n.错误，误解 v.弄错
exploit  vt.剥削；开拓，开发；利用
liberty  n.自由，释放；(pl.)准许(权)，许可
explain  v.解释，说明；可作解释的事物
payment  n.支付；偿付的款项；报应
monthly  a.每月的，按月计算的 ad.每月一次 n.月刊
gravity  n.地心引力，重力；庄重，严肃；严重
painter  n.油漆匠，画家
failure  n.失败；失灵，故障；失败的人或事；没做到
include  vt.包括，包含；把…计算在内
factory  n.工厂
faculty  n.能力，才能；学科，系；(院系)全体教职工
penalty  n.罚，惩罚；刑罚，罚款
nuclear  a.原子核的；核心的，中心的
foreign  a.对外的；无关的；外来的；非…的本性的
history  n.历史；来历；过去事件的记载或叙述
holiday  n.假日，休息日，假期
himself  pron.他自己，他本人
musical  a.音乐的；悦耳的 n.音乐喜剧
forgive  vt.原谅；免除(债务等)
hearing  n.听，听力；审讯
medical  a.医学上的，医疗的；内科的
isolate  vt.使孤立，隔离
journey  n.旅行，旅途 vi.旅行
journal  n.日报，期刊，杂志；日记，日志；分类帐
jealous  a. 妒忌的；猜疑的
justify  vt.证明…是正当的，为…辩护
justice  n.正义；司法，审判
hostile  a.不友好的；怀有敌意的；敌方的
hopeful  a.怀有希望的，抱有希望的
flavour  vt.给…调味
plastic  n.(pl.)塑料，塑料制品 a.塑料的
October  n.十月
Marxist  a.马克思主义者
fireman  n.消防队员
discover  vt.发现，看出；暴露，显示
republic  n.共和国，共和政体
heading  n.标题
fortune  n.命运，运气；财产
furnace  n.火炉，熔炉
freight  n.货运(费) vt.运输；装货于
formula  n.公式；配方，外方；规则，一定的做法
harmony  n.协调，融洽；(声)谐调，和声学
handful  n.一把，少量；少数人
harvest  n.收割，收获，收成 v.收割，收获
furnish  v.提供，供应；装备，布置
miracle  n.奇迹
mineral  n.&a.矿物(的)
funeral  n./a.葬礼(的)
mislead  vt.使误入岐途
bankrupt  a.破产的 vt.使破产 n.破产者
computer  n.计算机，电脑
grateful  a.感激的，感谢的；令人愉快的
relation  n.家人，亲戚；关系；叙述，陈述
industry  n.工业，产业
suitable  a.合适的，适宜的
distance  n.距离
guidance  n.帮助，指导；控制，遥控；导航
comprise  vt.包含，由…构成；构成，组成
discount  n.折扣 vt.对…打折；认为…不足轻重
champion  n.冠军；捍卫者 vt.捍卫，拥护
southern  a.南部的，南方的
tropical  a.热带的
triangle  n.三角，三角形
sunlight  n.日光，阳光
moisture  n.湿气，潮湿
directly  ad.直接地；马上
previous  a.先，以前的；在…之前
interval  n.间隔(时间)；幕间休息
stocking  n.长袜
physical  a.身体的；物质的；物理的；自然(界)的
precious  a.珍贵的，贵重的
kilogram  n.千克，公斤
portable  a.轻便的；手提式的
platform  n.讲台；站台，平台；政纲，党纲
yourself  pron.你(们)自己，你(们)亲自
equation  n.方程式
equality  n.同等，平等；等式
judgment  n.判断(力)；审判，判决；评价，意见
keyboard  n.键盘 vt.用键盘输入(信息)
absolute  a.绝对的，完全的；确实的，肯定的
powerful  a.强有力的；有权力的；作用大的
clothing  n.衣服(总称)
practise  n.练习；实行 v.练习；开业
gasoline  =petrol n.(美语)汽油
postcard  n.明信片
duration  n.持续，持久；期间
graceful  a.优美的，优雅的；得体的，适度的
reaction  n.反应；化学反应，反作用(力)；反动
peculiar  a.特有的，特别的；奇怪的
particle  n.粒子，微粒；极小量
argument  n.辩论，争论；论点，论据
vertical  a.垂直的，竖的
dominate  vt.支配，统治；高出于 vi.居支配地位
document  n.公文，文件，文档
domestic  a.国内的；家(庭)的，家用的；驯养的
laughter  n.笑，笑声
question  n.问题；待解决的问题；疑问 vt.询问
personal  a.个人的，私人的；身体的；亲自的
ancestor  n.祖宗，祖先
province  n.省；(学术)领域，活动(范围)
purchase  vt.购买 n.购买；购买的物品
optical  a.光学的；视觉的，视力的
organic  a.有机物的，有机体的；器官的
outside  n./a.外面(的) ad.在外面 prep.在…外
machine  n.机器，机械
outward  a.外面的；公开的；向外的 ad.向外 n.外形
fashion  n.时尚，时装；风格，式样
outline  n.轮廓；提纲 vt.画出轮廓；概括
husband  n.丈夫
housing  n.住房，住房供给；(外、阀)壳，防护罩
fatigue  n./v.疲劳，疲乏
magnetic  a.磁性的；有吸引力的
forecast  n.预测，预报 vt.预测，预报
mailbox  n.邮筒，邮箱
organize  vt.组织，安排；筹办
organise  vt.组织，安排；筹办
organism  n.生物，有机体
merchant  n.商人
terminal  a.末端的；晚期的 n.终点(站)，终端(机)
shoulder  n.肩 vt.承担，肩负
hydrogen  n.氢
shortage  n.不足，短缺
favorite  a.最喜爱的 n.最喜爱的人或物
friendly  a.友善的，友谊的
somewhat  pron.有点儿，稍微
software  n.软件
dialogue  n.问答，对话
frighten  vt.使惊吓，吓唬 vi.惊恐，害怕
fragment  n.碎屑，片断
fraction  n.微量；碎片；分数
obstacle  n.障碍，妨碍
consumer  n.用户，消费者
romantic  a.罗曼蒂克的；多情的；不切实际的
singular  n.单数 a.独特的；非凡的；单数的
category  n.种类，范畴
conquest  n.攻取，征服
consider  vt.认为，把…看作；考虑 vi.考虑，细想
handsome  a.(男子)漂亮的；(女子)端庄的；慷慨的
security  n.安全
cupboard  n.食橱，碗橱
behavior  n.行为，表现；(机器等的)运转情况
festival  n.节日；音乐节
flourish  vi.繁荣，兴旺；挥舞，挥动 n.炫耀，挥舞
Thursday  n.星期四
majority  n.多数，大多数
daylight  n.日光，白昼，黎明
daughter  n.女儿
birthday  n.生日，诞辰
hospital  n.医院
customer  n.顾客, 主顾
sandwich  n.三明治，夹肉面包 v.夹入，挤进
thousand  num.&n.一千；(pl.)许许多多，成千上万
boundary  n.分界线，边界
certainly  ad.一定，必定；当然可以，行
alongside  prep.在…旁边；和…在一起 ad.在旁边
voluntary  a.自愿的，志愿的
wonderful  a.极好的，极棒的；惊人的，奇妙的
introduce  vt.介绍；引进；提出
youngster  n.小伙子，年轻人；少年，儿童
toward(s)  prep.朝，向；接近；关于，对于
behaviour  n.行为，举止；(机器的)运转情况
marvelous  a.奇异的；了不起的
universal  a.普通的；通用的，一般的；全球的，宇宙的
machinery  n.(总称)机械，机器；机构
neighbor  n.邻居 v.邻近，邻接
complain  vi.抱怨，拆苦；投诉
favourite  a.心爱的 n.特别受人喜欢的人(物)
something  n.某事，某物；一些，几分
ownership  n.所有权，所有制
discharge  v./n.排出，放出；允许…离开，释放；放电
overnight  ad./a.通宵(的)，一夜(的)
signature  n.签名，签字
copyright  n.版权，著作权
nightmare  n.恶梦；恐怖的经历，可怕的事件
dangerous  a.危险的
fisherman  n.渔夫
secondary  a.次要的；中级的；继发性的；第二期的
excursion  n.远足，集体游览；短途旅行
policeman  n.警察
discovery  n.发现
reduction  n.减少，缩减；(数学)约简
education  n.教育，培养
neighbour  n.邻居，邻国 v.邻近，邻接
complaint  n.抱怨，诉苦，发牢骚
chemistry  n.化学
background  n.背景；经历
presumably  ad.推测上，大概
journalist  n.记者，新闻工作者
sympathize  vi.同情，体谅
playground  n.操场，游乐场
regulation  n.调整，调节；规则，规定
importance  n.重要(性)
precaution  n.预防，警惕，谨慎
discourage  vt.使泄气；劝阻
republican  a.共和政体的 n.共和党人
countryside  n.乡村
personality  n.人格；个性；名人，人物
